route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1,D,1_60840_2_1_3,Hornbach,1,1.1
1,D,1_63120_2_1_4,Hornbach,1,1.1
1,D,1_65940_2_1_3,Hornbach,1,1.1
1,D,1_69960_2_1_1,Hornbach,1,1.1
1,D,1_71640_2_1_3,Hornbach,1,1.1
1,D,1_73440_2_1_4,Hornbach,1,1.1
1,D,1_75240_2_1_1,Hornbach,1,1.1
1,D,1_77040_2_1_3,Hornbach,1,1.1
114,LV,114_20400_0_1_1,Marquardt,1,114.1
114,LV,114_20400_0_1_2,Marquardt,1,114.1
114,LV,114_20400_0_1_3,Marquardt,1,114.1
114,LV,114_22320_0_1_4,Marquardt,1,114.1
114,LV,114_26280_0_1_1,Marquardt,1,114.1
114,LV,114_31560_0_1_1,Marquardt,1,114.1
114,LV,114_38700_0_1_1,Marquardt,1,114.1
114,LV,114_44100_0_1_1,Marquardt,1,114.1
114,LV,114_49500_0_1_1,Marquardt,1,114.1
114,LV,114_49500_0_1_2,Marquardt,1,114.1
114,LV,114_49500_0_1_3,Marquardt,1,114.1
114,LV,114_51120_0_1_4,Marquardt,1,114.1
114,LV,114_56400_0_1_1,Marquardt,1,114.1
114,LV,114_62100_0_1_1,Marquardt,1,114.1
114,LV,114_67800_0_1_1,Marquardt,1,114.1
114,LV,114_73200_0_1_1,Marquardt,1,114.1
114,LV,114_78600_0_1_1,Marquardt,1,114.1
114,LV,114_78600_0_1_3,Marquardt,1,114.1
114,LV,114_79200_0_1_2,Marquardt,1,114.1
114,LV,114_80520_0_1_4,Marquardt,1,114.1
114,LV,114_24120_0_0_3,Irmes 2,0,114.0
114,LV,114_24360_0_0_1,Irmes 2,0,114.0
114,LV,114_24360_0_0_2,Irmes 2,0,114.0
114,LV,114_25920_0_0_4,Irmes 2,0,114.0
114,LV,114_28560_0_0_1,Irmes 2,0,114.0
114,LV,114_35940_0_0_1,Irmes 2,0,114.0
114,LV,114_41220_0_0_1,Irmes 2,0,114.0
114,LV,114_46620_0_0_1,Irmes 2,0,114.0
114,LV,114_52920_0_0_3,Irmes 2,0,114.0
114,LV,114_53160_0_0_2,Irmes 2,0,114.0
114,LV,114_54000_0_0_1,Irmes 2,0,114.0
114,LV,114_54720_0_0_4,Irmes 2,0,114.0
114,LV,114_58500_0_0_1,Irmes 2,0,114.0
114,LV,114_65100_0_0_1,Irmes 2,0,114.0
114,LV,114_70500_0_0_1,Irmes 2,0,114.0
114,LV,114_75900_0_0_1,Irmes 2,0,114.0
114,LV,114_81720_0_0_3,Irmes 2,0,114.0
114,LV,114_81960_0_0_1,Irmes 2,0,114.0
114,LV,114_83700_0_0_2,Irmes 2,0,114.0
114,LV,114_83700_0_0_4,Irmes 2,0,114.0
114,S,114_24120_1_0_1,Irmes 2,0,114.0
114,S,114_24360_1_0_2,Irmes 2,0,114.0
114,S,114_25920_1_0_3,Irmes 2,0,114.0
114,S,114_52920_1_0_1,Irmes 2,0,114.0
114,S,114_54480_1_0_2,Irmes 2,0,114.0
114,S,114_67800_1_0_2,Irmes 2,0,114.0
114,S,114_81720_1_0_1,Irmes 2,0,114.0
114,S,114_83700_1_0_2,Irmes 2,0,114.0
114,S,114_20400_1_1_1,Marquardt,1,114.1
114,S,114_20400_1_1_2,Marquardt,1,114.1
114,S,114_22320_1_1_3,Marquardt,1,114.1
114,S,114_50100_1_1_1,Marquardt,1,114.1
114,S,114_50100_1_1_2,Marquardt,1,114.1
114,S,114_63600_1_1_2,Marquardt,1,114.1
114,S,114_78600_1_1_1,Marquardt,1,114.1
